SENSOR_ID,WEB_ID,FP_ID,BATT,LOC_ID,FROM_DATETIME,TO_DATETIME,LAT,LON,first_soilMes,last_soilMes,nNAs_soilMes,NAsRatio_soilMes,VDL_ID,VDL_CLASS
PI040298AD5G200384,ALG_VDL_Mn20-ACD1,ACD1,63%,8dPz59SEte1534867600026,2019-06-02 15:01:50,2019-08-31 15:01:50,37.1401846700159,-8.63503453068209,2018-08-21 17:15:00,2018-12-10 15:30:00,23344,0.710905381124951,MN20,MB-TEST
PI040298AD5G200484,ALG_VDL_SB04-BC31,BC31,58%,AWAUJIhxHA1552661375562,2019-06-02 15:01:50,2019-08-31 15:01:50,37.1387717754363,-8.63256201878418,2019-03-15 15:00:00,2019-07-28 09:00:00,133,0.0101790907699372,SB04,GRID
PI040298AD5G200671,ALG_VDL_Ss29-4A9D,4A9D,47%,mIhNKJ1OhH1535215566055,2019-06-02 15:01:50,2019-08-31 15:01:50,37.139453955359,-8.63277766440898,2018-08-25 18:00:00,2018-12-10 16:15:00,22184,0.683636363636364,SS29,SW3p-TEST
PI040298AD5G200816,ALG_VDL_TS14-2D8F,2D8F,85%,Cvg7QlZ48P1535451367123,2019-06-02 15:01:50,2019-08-31 15:01:50,37.1391692982982,-8.63465725650764,2018-08-28 11:30:00,2019-07-28 09:15:00,3128,0.0971790729464397,TS14,GRID
PI040298AD5G200986,ALG_VDL_LL07-4E44,4E44,61%,HstSaFxeCZ1553938982130,2019-06-02 15:01:50,2019-08-31 15:01:50,37.1426218113736,-8.62670797171837,2019-03-30 10:00:00,2019-07-27 19:15:00,188,0.016142881676112,LL07,GRID
PI040298AD5G201248,ALG_VDL_TS07-40EA,40EA,100%,0rdUdViCvx1535453803848,2019-06-02 15:01:50,2019-08-31 15:01:50,37.1387413413638,-8.63422964307922,2018-08-28 12:15:00,2019-07-28 09:00:00,5716,0.177598260059034,TS07,GRID
PI040298AD5G201682,ALG_VDL_Mn34-1CA2,1CA2,90%,yiS8fE2DmG1534871621291,2019-06-02 15:01:50,2019-08-31 15:01:50,37.1404057850978,-8.63541277004578,2018-08-21 18:30:00,2019-07-29 08:30:00,2086,0.063535575048733,MN34,MCb-TEST
PI040298AD5G201927,ALG_VDL_TS02*-0B9D,0B9D,46%,3JQFhVSTzU1553680202391,2019-06-02 15:01:50,2019-08-31 15:01:50,37.1385435042446,-8.63543388355283,2019-03-27 10:00:00,2019-07-28 09:00:00,133,0.0111446287916876,TS02,GRID
PI040298AD5G202379,ALG_VDL_LL04-4FD2,4FD2,60%,MezEmauMcn1553936465181,2019-06-02 15:01:50,2019-08-31 15:01:50,37.1442285240093,-8.6280606100996,2019-03-30 09:15:00,2019-07-27 19:15:00,188,0.0161387243540218,LL04,GRID
PI040298AD5G202510,ALG_VDL_LL10-4F85,4F85,57%,O3V7aL33zj1553941349665,2019-06-02 15:01:50,2019-08-31 15:01:50,37.141906521262,-8.62772461738462,2019-03-30 10:30:00,2019-07-27 19:30:00,187,0.0160597732737891,LL10,GRID
PI040298AD5G202636,ALG_VDL_Mn31-4176,4176,89%,qpjvoVkime1534870667080,2019-06-02 15:01:50,2019-08-31 15:01:50,37.1402325549045,-8.63535344442288,2018-08-21 18:15:00,2019-07-29 08:15:00,2111,0.0642950689854719,MN31,MC-TEST
PI040298AD5G203720,ALG_VDL_Og01-CF87,CF87,88%,KEuEizqP8E1535298576003,2019-06-02 15:01:50,2019-08-31 15:01:50,37.1408876828057,-8.63402680914387,2018-08-26 17:00:00,2019-07-29 09:15:00,2744,0.0848012856171581,OG01,GRID
PI040298AD5G203737,ALG_VDL_ER04*-74B8,74B8,63%,bzN7MY01Hn1553759256596,2019-06-02 15:01:50,2019-08-31 15:01:50,37.1409599782061,-8.63185631714937,2019-03-28 08:00:00,2019-07-29 09:15:00,36,0.00303900050650008,ER04,GRID
PI040298AD5G203983,ALG_VDL_Ss06*-CF45,CF45,54%,Lvm7mAWVLJ1553615611974,2019-06-02 15:01:50,2019-08-31 15:01:50,37.1393304001739,-8.63346528140333,2019-03-26 16:15:00,2019-07-28 08:45:00,136,0.0113286130778842,SS06,SW1b-TEST
PI040298AD5G204458,ALG_VDL_NF01-D85E,D85E,61%,m6IhoSq7O91554018021722,2019-06-02 15:01:50,2019-08-31 15:01:50,37.140396045494,-8.62928328455379,2019-03-31 09:00:00,2019-07-27 19:45:00,186,0.0160927496106593,NF01,GRID
PI040298AD5G204883,ALG_VDL_TS02-9FAC,9FAC,90%,971lMaOAbh1535455037186,2019-06-02 15:01:50,2019-08-31 15:01:50,37.1383959899351,-8.63561140725574,2018-08-26 11:45:00,2018-09-24 10:45:00,29598,0.914110997868989,TS02,GRID
PI040298AD5G205297,ALG_VDL_Mn24-716B,716B,88%,8c3gu0NhT61534868334994,2019-06-02 15:01:50,2019-08-31 15:01:50,37.1403152508821,-8.63510936988484,2018-08-21 17:30:00,2019-07-29 08:15:00,3324,0.101230356925326,MN24,MC-TEST
PI040298AD5I205667,ALG_VDL_TS04-66C4,66C4,89%,QCXimA0HlX1535454572288,2019-06-02 15:01:50,2019-08-31 15:01:50,37.1385232731897,-8.63510403342741,2018-08-26 12:00:00,2019-07-28 09:00:00,2815,0.0869417505713756,TS04,GRID
PI040298AD5I205993,ALG_VDL_Tn07-6501,6501,78%,2OhB59HXPV1533052721808,2019-06-02 15:01:50,2019-08-31 15:01:50,37.1391359857535,-8.63555584962462,2018-08-17 12:15:00,2018-10-13 14:45:00,27758,0.835053097078909,TN07,GRID
PI040298AD5I206183,ALG_VDL_SS47-65BE,65BE,61%,UTQ9iQp32y1535218909692,2019-06-02 15:01:50,2019-08-31 15:01:50,37.13949353,-8.631926458,2018-08-25 19:00:00,2018-12-25 10:15:00,21501,0.66267028293164,SS47,HPG-CONTROL
PI040298AD5I206187,ALG_VDL_Og02-65E0,65E0,55%,y05c942uCK1535299209934,2019-06-02 15:01:50,2019-08-31 15:01:50,37.1409470915287,-8.63364941350972,2018-08-26 17:15:00,2019-02-07 10:45:00,16550,0.511481286893099,OG02,GRID
PI040298AD5I206193,ALG_VDL_Tn12-64E8,64E8,97%,OeuHFYPaes1533055734692,2019-06-02 15:01:50,2019-08-31 15:01:50,37.1392864139543,-8.6358735806671,2018-08-17 12:00:00,2019-07-28 18:30:00,12618,0.379580049335178,TN12,GRID
PI040298AD5I206195,ALG_VDL_Tn08-6C89,6C89,59%,cfL1L7jw8R1533053993040,2019-06-02 15:01:50,2019-08-31 15:01:50,37.1391359857535,-8.63555584962462,2018-08-17 12:00:00,2019-07-28 18:45:00,5153,0.155014740388665,TN08,GRID
PI040298AD5I206247,Fw01-5991,5991,56%,oQPpcXdSeR1531387325357,2019-06-02 15:01:50,2019-08-31 15:01:50,37.1394531703043,-8.63081180162469,2018-08-17 12:00:00,2019-07-27 19:45:00,335,0.0100776126586848,FW01,GRID
PI040298AD5I206466,ALG_VDL_Tn11-6DB3,6DB3,90%,5lgSqcOHFA1533055312558,2019-06-02 15:01:50,2019-08-31 15:01:50,37.1395966152931,-8.63483458349286,2018-08-17 12:15:00,2019-07-28 18:45:00,4471,0.134502572124786,TN11,GRID
PI040298AD5I206943,ALG_VDL_FE01-8F37,8F37,63%,kMsaAeqhsp1554017141330,2019-06-02 15:01:50,2019-08-31 15:01:50,37.1394359649883,-8.62972720158846,2019-03-31 08:45:00,2019-07-27 19:45:00,186,0.0160913573838567,FE01,GRID
PI040298AD5I206995,ALG_VDL_Og04-6F1C,6F1C,0%,XWK1qUaeW41535299513915,2019-06-02 15:01:50,2019-08-31 15:01:50,37.1409286318004,-8.63331844492779,2018-09-04 13:00:00,2019-07-29 09:15:00,36,0.00114249444620755,OG04,GRID
PI040298AD5I207989,ALG_VDL_Mn35-676F,676F,30%,sWnfofyy9K1534871826986,2019-06-02 15:01:50,2019-08-31 15:01:50,37.1404057850978,-8.63541277004578,2018-08-21 18:30:00,2019-04-20 18:00:00,9613,0.292793615984405,MN35,MC-TEST
PI040298AD5I208065,ALG_VDL_Tn15-6B0C,6B0C,100%,RCVIV2w6qr1533057202798,2019-06-02 15:01:50,2019-08-31 15:01:50,37.1396330421975,-8.63564754770685,2018-08-17 12:15:00,2019-03-31 15:45:00,26211,0.788514184290485,TN15,GRID
PI040298AD5I208079,Fr01-6A37,6A37,69%,5hI12wAFjv1531386302928,2019-06-02 15:01:50,2019-08-31 15:01:50,37.140053431288,-8.63033387871597,2018-08-17 12:00:00,2018-10-26 08:45:00,26535,0.798237169845376,FR01,GRID
PI040298AD5I208350,Burgau2-6a22,6A22,57%,FDCtY3Myk01534956289457,2019-06-02 15:01:50,2019-08-31 15:01:50,37.0720011536534,-8.77515150648126,,,,,,
PI040298AD5I208428,ALG_VDL_SB07-65C0,65C0,53%,MoKTE7kpBl1535456972621,2019-06-02 15:01:50,2019-08-31 15:01:50,37.1384628549096,-8.63428816787675,2018-08-26 10:30:00,2018-12-10 13:45:00,23079,0.712666749011858,SB07,GRID
PI040298AD5I208445,ALG_VDL_Tn14-6536,6536,86%,Ifw170k66Q1533056569306,2019-06-02 15:01:50,2019-08-31 15:01:50,37.1392702562763,-8.63614063873349,2018-08-17 12:00:00,2019-07-29 08:30:00,1057,0.031797124120089,TN14,GRID
PI040298AD5I208531,ALG_VDL_VY01-805C,805C,78%,fhYI5qImzV1553963740749,2019-06-02 15:01:50,2019-08-31 15:01:50,37.139640048995,-8.62924423948207,2019-03-30 16:45:00,2019-06-30 16:45:00,2790,0.24012393493416,TS15,GRID
PI040298AD5I208734,ALG_VDL_OG02*-11F6,11F6,60%,RJxAG6jUpq1553761882332,2019-06-02 15:01:50,2019-08-31 15:01:50,37.1408555991583,-8.63364826886478,2019-03-28 08:45:00,2019-07-29 09:15:00,9600,0.810605420923752,OG02,GRID
PI040298AD5I208783,ALG_VDL_Tn02-6710,671D,90%,J4U3lKlFOa1533049255044,2019-06-02 15:01:50,2019-08-31 15:01:50,37.139137185661,-8.63520334506922,2018-08-17 12:15:00,2019-07-28 18:30:00,100,0.00300833308263891,TN02,GRID
PI040298AD5I208794,ALG_VDL_Tn17-6791,6791,91%,jw8QLULVYM1533058244803,2019-06-02 15:01:50,2019-08-31 15:01:50,37.1396613140%\r618,-8.63481873756822,2018-08-17 12:15:00,2019-07-28 19:00:00,96,0.00288799975933335,TN17,GRID
PI040298AD5I208806,ALG_VDL_TS05-7C4B,7C4B,89%,NovY1r8ej51535454249451,2019-06-02 15:01:50,2019-08-31 15:01:50,37.138494092459,-8.63476108910324,2018-08-28 12:15:00,2019-07-28 09:00:00,351,0.010905701413702,TS05,GRID
