web_id,sensor_id,batt_%
ALG_VDL_Mn20-ACD1,PI040298AD5G200384,63
ALG_VDL_SB04-BC31,PI040298AD5G200484,66
ALG_VDL_Ss29-4A9D,PI040298AD5G200671,47
ALG_VDL_TS14-2D8F,PI040298AD5G200816,100
ALG_VDL_LL07-4E44,PI040298AD5G200986,71
ALG_VDL_TS07-40EA,PI040298AD5G201248,100
ALG_VDL_Mn34-1CA2,PI040298AD5G201682,100
ALG_VDL_TS02*-0B9D,PI040298AD5G201927,54
ALG_VDL_LL04-4FD2,PI040298AD5G202379,70
ALG_VDL_LL10-4F85,PI040298AD5G202510,68
ALG_VDL_Mn31-4176,PI040298AD5G202636,100
ALG_VDL_Og01-CF87,PI040298AD5G203720,100
ALG_VDL_ER04*-74B8,PI040298AD5G203737,71
ALG_VDL_Ss06*-CF45,PI040298AD5G203983,60
ALG_VDL_NF01-D85E,PI040298AD5G204458,71
ALG_VDL_TS02-9FAC,PI040298AD5G204883,90
ALG_VDL_Mn24-716B,PI040298AD5G205297,100
ALG_VDL_TS04-66C4,PI040298AD5I205667,100
ALG_VDL_Tn07-6501,PI040298AD5I205993,78
ALG_VDL_SS47-65BE,PI040298AD5I206183,61
ALG_VDL_Og02-65E0,PI040298AD5I206187,55
ALG_VDL_Tn12-64E8,PI040298AD5I206193,97
ALG_VDL_Tn08-6C89,PI040298AD5I206195,67
Fw01-5991,PI040298AD5I206247,64
ALG_VDL_Tn11-6DB3,PI040298AD5I206466,100
ALG_VDL_FE01-8F37,PI040298AD5I206943,72
ALG_VDL_Og04-6F1C,PI040298AD5I206995,0
ALG_VDL_Mn35-676F,PI040298AD5I207989,30
ALG_VDL_Tn15-6B0C,PI040298AD5I208065,100
Fr01-6A37,PI040298AD5I208079,69
Burgau2-6a22,PI040298AD5I208350,57
ALG_VDL_SB07-65C0,PI040298AD5I208428,53
ALG_VDL_Tn14-6536,PI040298AD5I208445,100
ALG_VDL_VY01-805C,PI040298AD5I208531,78
ALG_VDL_OG02*-11F6,PI040298AD5I208734,60
ALG_VDL_Tn02-6710,PI040298AD5I208783,100
ALG_VDL_Tn17-6791,PI040298AD5I208794,100
ALG_VDL_TS05-7C4B,PI040298AD5I208806,100
ALG_VDL_LL05-9B35,PI040298AD5I209116,70
ALG_VDL_Ss30-6CD4,PI040298AD5I209128,5
ALG_VDL_Ss57-C1C8,PI040298AD5I209167,20
ALG_VDL_LL09-75E0,PI040298AD5I209222,72
ALG_VDL_Tn06-983A,PI040298AD5I209329,100
ALG_VDL_Ss54-6D13,PI040298AD5I209386,100
ALG_VDL_Tn10-59FF,PI040298AD5I209484,100
ALG_VDL_Mn30-59F0,PI040298AD5I209489,100
ALG_VDL_Mn09*-7F84,PI040298AD5I209621,70
ALG_VDL_Tn01-6F72,PI040298AD5I209872,100%
ALG_VDL_Tn16-6E45,PI040298AD5I209922,0
ALG_VDL_Tn03-C488,PI040298AD5I210659,100
ALG_VDL_SB07-1112,PI040298AD5I210661,66
ALG_VDL_Ss01-5FD8,PI040298AD5I210868,48
ALG_VDL_Mn03-5D17,PI040298AD5I210872,0
ALG_VDL_MN28-63B0,PI040298AD5I210900,100
ALG_VDL_SS39-63D4,PI040298AD5I210909,6
ALG_VDL_ER05-5B33,PI040298AD5I210925,6
ALG_VDL_Ss01*-0F2F,PI040298AD5I210983,68
ALG_VDL_Mn27-0F48,PI040298AD5I210985,40
ALG_VDL_SB11-A45D,PI040298AD5I210998,100
ALG_VDL_SS40-2E26,PI040298AD5I211031,100
ALG_VDL_TS15-2EB1,PI040298AD5I211046,100
ALG_VDL_Ss06-321D,PI040298AD5I211052,12
ALG_VDL_Mn45-31DD,PI040298AD5I211062,52
ALG_VDL_SS22-39B3,PI040298AD5I211070,0
ALG_VDL_Mn04-3A30,PI040298AD5I211083,75
ALG_VDL_Ss28-4186,PI040298AD5I211125,43
ALG_VDL_Mn06-41BE,PI040298AD5I211129,76
ALG_VDL_SS57-*5A23,PI040298AD5I211152,70
ALG_VDL_MN35*-5B79,PI040298AD5I211153,77
ALG_VDL_SS15-5BC7,PI040298AD5I211154,12
ALG_VDL_Mn17-1099,PI040298AD5I211178,33
ALG_VDL_Ss43-A06F,PI040298AD5I211329,12
ALG_VDL_OG07-9559,PI040298AD5I211332,53
ALG_VDL_Ss31-9431,PI040298AD5I211334,29
Fr02-9417,PI040298AD5I211342,9
ALG_VDL_ER03-9545,PI040298AD5I211347,24
ALG_VDL_Tn09-9592,PI040298AD5I211397,100
ALG_VDL_Sb05-95B0,PI040298AD5I211401,15
ALG_VDL_TS03-4630,PI040298AD5I211409,100
ALG_VDL_Tn13-9FFC,PI040298AD5I211452,100
ALG_VDL_Ss56-A003,PI040298AD5I211458,100
ALG_VDL_Ss09-5B9E,PI040298AD5I211602,49
ALG_VDL_Mn09-5B8B,PI040298AD5I211603,22
ALG_VDL_Ss03*-4BD0,PI040298AD5I211618,96
ALG_VDL_Ss13*-56EB,PI040298AD5I211625,65
ALG_VDL_Ss33-4BEA,PI040298AD5I211628,67
ALG_VDL_SS51-9610,PI040298AD5I211658,3
ALG_VDL_Ss52-9609,PI040298AD5I211659,100
ALG_VDL_Sb04-9FB7,PI040298AD5I211670,75
ALG_VDL_WZ02-95F5,PI040298AD5I211673,100
ALG_VDL_Sb03-58A2,PI040298AD5I211785,60
ALG_VDL_Mn02-2CD5,PI040298AD5I211999,100
ALG_VDL_FF01-3217,PI040298AD5I212028,100
ALG_VDL_Ss05-334B,PI040298AD5I212031,87
ALG_VDL_ER06-4EFA,PI040298AD5I212037,9
ALG_VDL_Mn47-40A0,PI040298AD5I212069,9
ALG_VDL_Sb01-586F,PI040298AD5I212106,100
ALG_VDL_Ss21-5F9D,PI040298AD5I212108,23
ALG_VDL_Mn21-5FA9,PI040298AD5I212109,42
ALG_VDL_Mn01-6074,PI040298AD5I212110,78
ALG_VDL_Ss27-5208,PI040298AD5I212118,36
ALG_VDL_TS10-2D1F,PI040298AD5I212135,99
ALG_VDL_TS06-2D46,PI040298AD5I212139,13
ALG_VDL_Mn07-35E2,PI040298AD5I212141,100
ALG_VDL_Mn18-34A3,PI040298AD5I212148,52
ALG_VDL_SB03-07B7,PI040298AD5I212289,65
ALG_VDL_Ss10-391F,PI040298AD5I212373,52
ALG_VDL_LL02-B1C9,PI040298AD5I212432,70
ALG_VDL_Mn41-FFFD,PI040298AD5I212453,74
ALG_VDL_Ss23-0025,PI040298AD5I212473,75
ALG_VDL_Ss07*-09A7,PI040298AD5I212515,65
ALG_VDL_TS08-0876,PI040298AD5I212535,16
ALG_VDL_Og08-09E3,PI040298AD5I212544,100
ALG_VDL_TS13-06A9,PI040298AD5I212558,100
ALG_VDL_Ss49-0808,PI040298AD5I212562,80
ALG_VDL_TS09-FF63,PI040298AD5I212585,100
ALG_VDL_TS12-07CF,PI040298AD5I212610,100
ALG_VDL_MN12*-C05B,PI040298AD5I212622,69
ALG_VDL_Mn11*-B12D,PI040298AD5I212625,66
ALG_VDL_TN07*-B122,PI040298AD5I212626,69
ALG_VDL_SB12-2BB7,PI040298AD5I212632,100
ALG_VDL_Ss08-249F,PI040298AD5I212667,7
ALG_VDL_Mn38-2187,PI040298AD5I212668,75
