SENSOR_ID,FP_ID,LOC_ID,FROM_DATETIME,TO_DATETIME,LAT,LON,web_id,batt_%,first_soilMes,last_soilMes,nNAs_soilMes,NAsRatio_soilMes,notes
PI040298AD5I211649,B17C,iKNUqeXmzO1564386047452,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1396425432979,-8.63560648468544,ALG_VDL_TN15*-B17C,100,,,,,"noWeb , noQual"
PI040298AD5I212943,0590,heQFfVxSDq1564254251361,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1401211486922,-8.63053767733988,ALG_VDL_FR02•0590,100,,,,,"noWeb , noQual"
PI040298AD5I208350,6A22,FDCtY3Myk01534956289457,2019-05-01 07:40:53,2019-07-30 07:40:53,37.0720011536534,-8.77515150648126,Burgau2-6a22,57,,,,,noQual
PI040298AD5I211153,5B79,VJOPU3cokL1557129727715,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1404092832598,-8.63535220628082,ALG_VDL_MN35*-5B79,77,,,,,noQual
PI040298AD5I213952,C758,oIeephFnoc1553760826471,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1404527536693,-8.63336533924644,ALG_VDL_OG07*-C758,71,2019-03-28 08:30:00,2019-07-29 18:15:00,0,0,
PI040298AD5I211658,9610,2GSZ0xQwt61535219432166,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1400117,-8.631588835,ALG_VDL_SS51-9610,3,2018-08-25 19:15:00,2019-07-29 17:45:00,2,6.1642780089382e-05,0:0
PI040298AD5I214023,5C9B,8JTf8eDMhu1535470333956,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1399404598272,-8.63176123132114,ALG_VDL_SS36-5C9B,19,2018-08-25 18:15:00,2019-07-29 17:45:00,2,6.16351813615212e-05,
PI040298AD5I212983,54B8,qTOCUc1C4a1535470213701,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1399404598272,-8.63176123132114,ALG_VDL_SS38-54B8,100,2018-08-25 18:45:00,2019-07-29 17:45:00,3,9.2458470736894e-05,
PI040298AD5I209922,6E45,8xzMIS0Eqc1533057778332,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1396330421975,-8.63564754770685,ALG_VDL_Tn16-6E45,0,2018-08-17 12:00:00,2019-07-29 17:45:00,4,0.000120329703387281,
PI040298AD5I212069,40A0,W4XoKIJSwt1534873927047,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1404475396936,-8.63501650937595,ALG_VDL_Mn47-40A0,9,2018-08-21 19:00:00,2019-07-29 17:15:00,4,0.000121839780688395,
PI040298AD5I213048,4AA5,W0fxRKS00W1535191896310,2019-05-01 07:40:53,2019-07-30 07:40:53,37.139206121734,-8.6331614149763,ALG_VDL_Ss16-4AA5,0,2018-08-25 11:30:00,2019-07-29 17:30:00,5,0.000153959847271832,
PI040298AD5I212544,09E3,KABUoTC0mu1535300345924,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1406913233534,-8.63314265252397,ALG_VDL_Og08-09E3,100,2018-08-26 17:30:00,2019-07-29 09:15:00,36,0.00111262207936704,
PI040298AD5I206995,6F1C,XWK1qUaeW41535299513915,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1409286318004,-8.63331844492779,ALG_VDL_Og04-6F1C,0,2018-09-04 13:00:00,2019-07-29 09:15:00,36,0.00114249444620755,
PI040298AD5G203737,74B8,bzN7MY01Hn1553759256596,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1409599782061,-8.63185631714937,ALG_VDL_ER04*-74B8,71,2019-03-28 08:00:00,2019-07-29 09:15:00,36,0.00303900050650008,
PI040298AD5I213006,6339,2okL4KwSOz1535298941239,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1406928327007,-8.63381862900089,ALG_VDL_Og03-6339,100,2018-08-26 17:15:00,2019-07-29 09:00:00,37,0.00114349290725345,
PI040298AD5I210925,5B33,NrudXlJXLE1535450050025,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1409019333655,-8.63163603480624,ALG_VDL_ER05-5B33,6,2018-08-28 11:00:00,2019-07-29 09:00:00,37,0.00114942528735632,
PI040298AD5I212037,4EFA,2UpXZ9qsrK1535450249236,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1408468578644,-8.63132418110961,ALG_VDL_ER06-4EFA,9,2018-08-28 11:15:00,2019-07-29 09:00:00,38,0.00118052750939762,
PI040298AD5I213392,B434,ikd6cCGUSF1554044581946,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1402309690165,-8.63511104460496,ALG_VDL_MN21-B434,72,2019-03-31 16:15:00,2019-07-29 08:30:00,39,0.00338277387457715,
PI040298AD5I212625,B12D,EGZEMNYCGZ1553620965551,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1399218581937,-8.63561556820731,ALG_VDL_Mn11*-B12D,66,2019-03-26 17:30:00,2019-07-29 07:45:00,42,0.0035,
PI040298AD5I212622,C05B,DxCY3hpSjk1553765240984,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1401362099864,-8.63472813486555,ALG_VDL_MN12*-C05B,69,2019-03-28 09:45:00,2019-07-29 07:45:00,42,0.003547596925416,
PI040298AD5I213390,B537,ImCQEV5YqI1553619892539,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1399581665268,-8.6346654282159,ALG_VDL_Mn04*-B537,67,2019-03-26 17:15:00,2019-07-29 07:45:00,42,0.00349970835763686,
